84.208.211.208:8443#NO [230.68ms]
91.190.155.173:2083#NO [239.56ms]
81.29.149.219:2053#NO [260.21ms]
194.5.98.17:443#NO [261.02ms]
194.68.32.99:443#NO [264.31ms]
202.50.55.76:443#NO [266.26ms]
81.29.149.210:443#NO [270.08ms]
81.29.149.219:8443#NO [286.93ms]
185.71.230.237:443#NZ [324.23ms]
130.94.81.80:443#OM [230.56ms]
146.59.34.209:2053#PL [173.7ms]
82.118.20.234:443#PL [175.75ms]
212.119.43.79:2053#PL [177.18ms]
217.182.79.55:8443#PL [178.27ms]
217.182.79.55:443#PL [178.56ms]
51.68.130.118:443#PL [179.44ms]
51.75.32.106:443#PL [180.08ms]
145.239.88.255:2053#PL [180.82ms]
51.83.199.98:443#PL [181.27ms]
92.118.150.57:443#PL [181.93ms]
193.142.58.147:2087#RO [180.65ms]
38.180.253.71:443#RO [182.05ms]
45.136.199.148:443#RO [184.98ms]
85.120.229.219:443#RO [190.02ms]
193.201.82.144:443#RO [215.29ms]
185.158.248.185:2087#RO [232.85ms]
193.142.58.170:8443#RO [234.03ms]
38.79.154.232:443#RO [234.8ms]
185.39.30.18:8443#RO [261.77ms]
85.90.196.38:443#RO [262.92ms]
185.48.250.138:2096#RS [206.81ms]
194.87.85.5:8443#RS [215.3ms]
185.48.250.175:443#RS [215.77ms]
195.133.18.146:443#RS [219.08ms]
38.180.100.80:443#RS [220.43ms]
185.48.250.113:8443#RS [222.6ms]
130.49.163.54:8443#RS [244.67ms]
185.48.250.113:443#RS [255.28ms]
130.49.163.54:2053#RS [280.37ms]
38.180.239.173:443#RS [286.03ms]
147.45.147.212:8443#RU [129.73ms]
45.74.3.80:443#RU [132.0ms]
147.45.147.212:2053#RU [133.15ms]
109.71.242.243:8443#RU [136.11ms]
195.19.20.80:8443#RU [139.87ms]
89.127.217.179:8443#RU [140.33ms]
46.29.118.247:443#RU [142.07ms]
5.101.50.226:443#RU [143.77ms]
91.142.90.97:8443#RU [143.87ms]
89.110.89.229:8443#RU [144.27ms]
130.94.58.215:443#SA [268.71ms]
130.94.58.215:8443#SA [299.06ms]
5.175.236.53:443#SE [170.73ms]
5.175.236.14:443#SE [182.25ms]
94.242.59.208:443#SE [182.37ms]
62.182.195.147:443#SE [186.16ms]
5.175.236.48:443#SE [186.18ms]
62.182.193.175:443#SE [187.38ms]
5.175.236.36:443#SE [187.9ms]
188.93.140.230:443#SE [189.66ms]
5.175.236.54:443#SE [190.43ms]
45.145.13.146:443#SE [190.85ms]
43.160.237.18:443#SG [优选高速 74.5ms]
54.169.57.101:8443#SG [优选高速 76.28ms]
52.221.53.171:443#SG [76.41ms]
177.5.78.29:443#SG [77.01ms]
13.212.102.10:443#SG [优选高速 78.19ms]
18.141.208.166:443#SG [优选高速 78.76ms]
195.172.137.20:8443#SG [79.29ms]
54.255.175.251:8443#SG [79.46ms]
45.194.18.109:443#SG [79.49ms]
54.254.247.156:443#SG [优选高速 79.52ms]
67.221.249.24:443#SI [219.46ms]
91.185.215.214:443#SI [251.38ms]
185.112.249.201:2053#SK [207.35ms]
45.129.141.188:443#SK [212.26ms]
185.112.249.201:8443#SK [223.17ms]
91.242.163.179:2053#SK [267.91ms]
91.242.163.179:8443#SK [287.6ms]
118.27.150.97:8443#TH [267.38ms]
77.95.0.133:443#TJ [278.14ms]
176.42.68.134:2053#TR [189.88ms]
176.42.68.134:2087#TR [198.48ms]
193.124.45.108:2053#TR [213.61ms]
38.180.172.231:443#TR [214.74ms]
201.50.115.20:443#TR [227.34ms]
217.11.164.172:2053#TR [234.23ms]
138.249.20.217:2053#TR [237.5ms]
87.120.106.194:8443#TR [238.76ms]
82.26.198.89:443#TR [240.12ms]
82.26.198.25:443#TR [244.75ms]
43.213.230.249:443#TW [优选高速 124.38ms]
23.146.248.149:443#TW [163.12ms]
78.105.183.11:8443#TW [316.53ms]
141.11.87.48:443#TW [317.41ms]
85.237.207.126:443#TW [317.57ms]
83.147.13.193:443#TW [318.37ms]
151.242.189.137:443#TW [320.03ms]
141.11.87.48:8443#TW [321.67ms]
151.242.188.209:443#TW [328.24ms]
188.253.6.249:443#TW [337.85ms]
91.218.212.223:443#UA [218.74ms]
173.242.63.235:8443#UA [227.6ms]
91.238.105.102:443#UA [232.42ms]
91.231.182.162:8443#UA [303.47ms]
141.105.130.102:443#UA [328.29ms]
198.13.37.57:443#US [优选高速 70.64ms]
178.20.208.255:8443#US [157.8ms]
185.245.34.118:8443#US [158.79ms]
95.182.101.185:443#US [159.21ms]
144.225.246.111:443#US [159.29ms]
185.221.22.142:443#US [161.52ms]
207.57.142.125:8443#US [161.71ms]
144.225.246.243:8443#US [162.5ms]
31.57.46.109:2053#US [163.8ms]
179.253.246.55:443#US [165.5ms]
157.22.133.86:443#UZ [262.37ms]
94.154.128.132:443#UZ [291.77ms]
157.22.128.7:443#UZ [322.98ms]
160.25.75.40:443#VN [优选高速 95.78ms]
157.66.26.194:443#VN [149.66ms]
160.22.74.117:443#VN [156.19ms]
160.30.50.48:443#VN [340.41ms]
84.8.142.203:443#ZA [360.62ms]
156.38.157.171:2053#ZA [367.29ms]
156.38.157.171:8443#ZA [385.95ms]
139.84.244.9:443#ZA [404.71ms]
139.84.235.99:443#ZA [418.89ms]
139.84.236.69:443#ZA [448.81ms]
139.84.242.103:443#ZA [478.13ms]
