130.12.171.96:8443#LT [259.5ms]
185.237.185.182:2053#LT [259.58ms]
195.123.212.222:2053#LV [241.86ms]
31.56.28.174:2083#LV [245.81ms]
195.123.209.189:8443#LV [247.13ms]
185.237.219.224:2087#LV [247.36ms]
31.128.32.98:443#LV [249.99ms]
195.123.210.147:443#LV [250.53ms]
31.58.77.174:443#LV [250.97ms]
95.156.205.244:443#LV [251.83ms]
195.123.212.222:8443#LV [252.94ms]
31.57.158.134:443#LV [253.09ms]
45.140.146.23:8443#MD [261.03ms]
45.67.229.8:443#MD [296.84ms]
185.163.45.40:443#MD [318.99ms]
91.229.239.172:443#MD [321.37ms]
45.86.86.53:443#MD [328.7ms]
91.208.206.103:443#MD [330.21ms]
185.216.68.218:8443#MD [346.44ms]
194.58.45.120:2053#MD [1266.32ms]
185.250.148.240:443#MD [1305.19ms]
91.208.162.68:443#MD [1343.33ms]
89.185.82.38:8443#MK [258.48ms]
89.185.82.90:8443#MK [263.36ms]
45.83.141.93:443#MK [275.75ms]
89.185.82.124:8443#MK [278.78ms]
46.183.185.142:443#MK [317.55ms]
216.238.88.154:8443#MX [242.72ms]
216.238.80.148:8443#MX [242.91ms]
216.238.92.231:443#MX [244.67ms]
159.54.134.203:443#MX [245.83ms]
216.238.79.83:8443#MX [267.1ms]
131.196.254.151:443#MX [269.32ms]
131.196.253.141:443#MX [281.23ms]
166.0.253.197:443#MY [优选高速 86.67ms]
45.134.36.21:443#MY [优选高速 92.32ms]
108.165.177.149:443#MY [优选高速 94.33ms]
45.89.107.78:2053#MY [372.46ms]
185.128.227.27:443#MY [372.7ms]
45.89.107.125:443#MY [379.17ms]
185.156.172.196:443#NL [207.68ms]
5.181.134.24:8443#NL [208.08ms]
152.53.200.71:8443#NL [208.11ms]
151.242.69.72:2053#NL [209.63ms]
194.54.157.81:443#NL [211.21ms]
31.220.4.189:2053#NL [213.13ms]
94.131.105.46:2053#NL [213.3ms]
31.59.114.205:443#NL [213.39ms]
45.120.178.37:443#NL [214.22ms]
178.255.222.103:8443#NL [214.75ms]
194.5.98.17:443#NO [297.56ms]
194.5.98.105:2053#NO [303.7ms]
185.243.217.192:443#NO [304.41ms]
89.185.81.48:443#NO [305.54ms]
194.5.98.105:8443#NO [329.67ms]
209.146.25.162:443#PH [278.18ms]
31.133.0.45:2053#PL [229.06ms]
31.133.0.133:2053#PL [229.26ms]
54.37.139.89:2053#PL [229.65ms]
31.133.0.70:2053#PL [230.85ms]
31.133.0.143:2053#PL [231.74ms]
31.133.0.55:8443#PL [238.04ms]
45.149.63.112:2053#PL [238.3ms]
31.133.1.8:2053#PL [238.72ms]
146.59.18.234:443#PL [239.79ms]
217.182.79.55:443#PL [239.89ms]
5.182.39.57:443#PT [260.92ms]
45.12.131.34:8443#PT [263.27ms]
5.182.39.243:443#PT [276.68ms]
185.138.89.45:2053#PT [299.63ms]
45.12.131.34:443#PT [1254.82ms]
156.244.43.22:443#QA [365.03ms]
45.67.34.89:443#RO [242.41ms]
38.180.35.88:443#RO [253.05ms]
85.90.196.11:443#RO [262.41ms]
185.39.30.18:2087#RO [262.76ms]
85.90.196.38:443#RO [263.08ms]
185.39.30.18:8443#RO [266.8ms]
86.122.14.66:443#RO [278.28ms]
45.136.199.148:443#RO [278.67ms]
45.13.38.36:2053#RO [293.62ms]
5.252.178.146:8443#RO [298.29ms]
45.15.160.220:443#RS [238.88ms]
38.180.100.80:443#RS [241.24ms]
185.48.250.164:443#RS [259.97ms]
45.89.55.200:8443#RS [262.42ms]
185.48.250.138:443#RS [268.94ms]
87.121.38.57:443#RS [276.74ms]
45.15.160.250:443#RS [285.39ms]
185.48.250.175:443#RS [307.6ms]
46.29.162.166:443#RU [129.59ms]
147.45.147.212:2053#RU [199.07ms]
147.45.147.212:8443#RU [203.21ms]
38.180.117.28:443#RU [236.08ms]
37.230.114.182:2053#RU [250.01ms]
77.110.104.41:8443#RU [251.59ms]
91.184.244.230:443#RU [252.9ms]
178.208.156.194:2053#RU [253.6ms]
80.87.198.98:443#RU [254.05ms]
188.68.218.66:443#RU [254.75ms]
143.14.50.121:8443#SE [234.88ms]
93.115.23.184:443#SE [236.17ms]
206.168.212.162:443#SE [237.35ms]
94.242.58.82:443#SE [238.12ms]
130.49.178.104:8443#SE [238.96ms]
62.182.198.181:443#SE [240.32ms]
62.182.198.188:8443#SE [240.97ms]
65.20.115.191:8443#SE [242.08ms]
94.242.58.206:8443#SE [242.52ms]
176.97.77.241:8443#SE [243.04ms]
18.138.34.221:443#SG [75.44ms]
18.143.76.130:443#SG [80.02ms]
52.77.114.70:443#SG [80.21ms]
18.143.179.83:443#SG [81.94ms]
34.143.159.175:443#SG [82.49ms]
43.160.195.223:443#SG [83.46ms]
52.77.224.71:443#SG [84.38ms]
43.133.61.219:443#SG [84.45ms]
43.156.181.203:443#SG [84.57ms]
54.255.195.46:443#SG [86.32ms]
194.58.66.220:443#SI [242.43ms]
5.180.55.184:8443#SK [240.3ms]
45.129.141.188:443#SK [283.91ms]
91.242.163.179:2053#SK [287.62ms]
5.35.103.185:8443#SK [291.36ms]
37.9.171.189:443#SK [296.55ms]
45.150.131.246:443#TH [274.2ms]
43.249.33.117:443#TH [284.34ms]
45.91.134.91:2053#TH [287.45ms]
45.150.128.181:443#TH [288.73ms]
43.133.110.81:443#TH [292.07ms]
45.150.128.159:443#TH [297.64ms]
8.213.199.128:443#TH [408.95ms]
138.124.107.132:443#TR [238.73ms]
138.124.107.35:443#TR [244.59ms]
45.12.143.73:443#TR [247.2ms]
103.83.87.133:443#TR [253.07ms]
141.98.115.64:8443#TR [254.19ms]
45.89.52.124:443#TR [254.73ms]
138.124.107.124:443#TR [258.03ms]
107.161.174.99:443#TR [258.9ms]
188.132.192.195:2053#TR [260.34ms]
141.98.115.65:8443#TR [262.98ms]
114.33.57.170:443#TW [77.2ms]
103.137.63.227:8443#TW [82.73ms]
167.253.153.147:443#TW [329.43ms]
167.253.153.215:443#TW [1332.39ms]
185.86.77.181:8443#UA [244.77ms]
91.238.105.102:443#UA [255.54ms]
171.33.241.51:2053#UA [1249.11ms]
91.218.212.223:443#UA [1276.6ms]
47.57.181.17:443#US [54.82ms]
154.17.230.144:443#US [159.23ms]
69.63.194.165:2053#US [159.65ms]
154.17.227.191:443#US [161.88ms]
69.63.193.2:443#US [166.86ms]
64.186.240.9:8443#US [168.24ms]
154.17.8.126:2053#US [172.22ms]
64.186.225.221:8443#US [174.3ms]
70.39.192.38:443#US [178.39ms]
43.162.119.244:443#US [178.53ms]
77.83.206.191:443#UZ [374.76ms]
160.22.17.48:443#VN [194.43ms]
160.22.16.187:443#VN [209.26ms]
163.61.74.121:443#VN [210.35ms]
123.58.199.241:443#VN [306.4ms]
156.38.157.171:2053#ZA [346.28ms]
139.84.236.69:443#ZA [356.39ms]
156.38.157.171:8443#ZA [367.11ms]
